"","ID","DATE","TIME","LAT","LON","VMAX","PER","ADAY","SPDX","PSLV","VPER","PC20","GSTD","POT","SHDC","T200","T250P","EPOS","RHMD","TWAT","Z850","D200","LSHDC","VSHDC","POT2","RHCN","SDIR","SHGC","POT_AVG","SHDC_AVG","T200_AVG","T250P_AVG","EPOS_AVG","RHMD_AVG","TWAT_AVG","Z850_AVG","D200_AVG","LSHDC_AVG","VSHDC_AVG","POT2_AVG","RHCN_AVG","SDIR_AVG","SHGC_AVG","RHLORI","SBTRI","PCRI30","RHCRI","RII30","RII35","RII40"
"AL122001.10","AL122001","011008",18,14.5,66,25,-20,0.41849,-19.69612,806,-500,38,585,144.61395,20.1,-53.3,0,14.1,56,0,15,7,5.03256,502.5,20913.19531,15,-9.83056,-1.85592,144.61395,20.1,-53.3,0,14.1,56,0,15,7,5.03256,502.5,20913.19531,15,-9.83056,-1.85592,67,23.4,31,75,7,1,1
"AL132001.1","AL132001","011012",0,31.8,64.7,60,0,0.32053,-9.20501,644,0,28,1272,41.50249,31.8,-55.85,-1.5,4.9,45.5,-0.6,96,40.5,16.83657,1908,1722.45642,0,18.36098,-2.11116,36.23167,22.84,-56.08001,-1.52,5.7,42,-1.7,85.2,15.2,12.3256,1370.40002,1312.73425,0,21.78673,-3.31827,55.2,21.2,23,1.2,3,1,1
"AL132001.2","AL132001","011012",6,32.2,65.8,60,0,0.32053,-9.20501,597,0,19,780,36.46467,20.5,-55.75,-1.75,5.45,43.5,-0.2,92.5,-1,10.98606,1230,1329.672,0,19.54799,-3.12436,34.11033,18.98,-55.94,-1.56,6.04,40.2,-2.3,79,7.6,10.44823,1138.80005,1163.51453,0,26.68795,-4.37922,53.8,13,8,0.4,3,1,1
"AL132001.3","AL132001","011012",12,32.8,65.8,60,0,0.32053,-4.77394,677,0,12,750,33.42143,16.9,-56.1,-1.6,6,40.5,0.9,80.5,-5.5,9.256,1014.00012,1116.99219,0,19.60265,-3.4836,33.39114,17,-56.04,-1.64,6.1,39.6,-1.9,68.4,11.8,9.59041,1020.00012,1114.96851,0,34.50936,-3.55043,53.2,12.5,7,0,3,1,1
"AL132001.4","AL132001","011012",18,33.5,66.3,60,0,0.32053,-2.16307,654,0,53,1194,31.66542,18.3,-56.3,-1.4,6.45,38,-1.8,73,6,10.18553,1098.00012,1002.69885,0,25.93816,-5.42912,32.5804,17.1,-56.06001,-1.54,5.88,39.6,-3.9,54.8,18.8,9.83031,1026,1061.48242,0,42.22873,-2.94606,52.2,19.9,42,0,3,1,1
"AL132001.5","AL132001","011013",0,34.2,66.1,60,0,0.2982,-1.21549,666,0,27,1134,27.7587,17.1,-56.05,-1.45,6.55,38,-1.2,68.5,17,9.69903,1026,770.54529,0,37.73692,-5.24433,25.87654,17.14,-56.06,-1.6,5.36,40.8,-1.5,41.4,8.4,10.10178,1028.40002,669.5954,0,50.64273,-2.32598,52.6,18.9,20,0,3,1,1
"AL132001.6","AL132001","011013",6,34.9,65.3,60,0,0.2982,4.12033,646,0,65,1140,28.69623,17.2,-55.75,-1.8,5.9,39.5,0.2,54,32,9.9986,1032,823.47351,0,50.16756,-2.69155,24.41335,17.72,-55.92,-1.66,4.58,41.8,-0.6,22.2,-6.6,10.67229,1063.20007,596.01178,0,51.13511,-1.79736,53,19,57,0,3,1,1
"AL132001.7","AL132001","011013",12,36.2,64.8,60,0,0.2982,5.16423,585,0,63,1200,26.18054,15.75,-56.05,-1.7,5.05,42,-1.1,32,27,9.41266,945,685.42078,0,58.39993,0.50737,22.0544,16.24,-56.12,-1.72,3.56,42,-1.1,-2.6,-25.4,9.94697,974.40009,486.39645,0,39.35834,-1.19679,54,20,52,0,3,1,1
"AL132001.8","AL132001","011013",18,37.3,64.6,65,5,0.2982,2.69947,678,325,75,1040,17.65874,17.15,-56.15,-1.5,4.15,43.5,0.6,13,-14,10.4751,1114.75,311.83099,0,59.93607,-0.27373,14.01311,15.24,-56.18,-1.56,2.7,40.8,-1.4,-29.6,-38.8,9.48588,990.59998,196.36717,0,19.3799,-1.56227,54.8,16,67,0,3,1,1
"AL132001.9","AL132001","011014",0,37.9,64,65,5,0.2768,3.22535,657,325,56,1072.5,15.43054,19.9,-55.95,-1.7,3.2,43.5,-0.3,-8.5,-57.5,12.31909,1293.50012,238.10162,0,48.20411,-2.5562,11.41808,13.98,-56.18,-1.52,1.88,38.6,-2.9,-57.6,-55.2,8.80113,908.70001,130.37245,0,-4.25654,-0.3542,55.2,16.5,33,0,3,1,1
"AL132001.10","AL132001","011014",6,38.6,63.7,70,5,0.2768,3.39369,648,350,62,847,8.20334,14.85,-56.2,-1.75,2.05,41,-0.3,-41.5,-67.5,9.31151,1039.5,67.29476,0,9.88868,-2.52138,3.6963,10.6,-56.06,-1.38,1.18,37.4,-2.6,-69.2,-47.2,6.76129,742,13.66261,0,-24.84453,2.28754,56,12.1,48,0,3,1,1
"AL132001.11","AL132001","011014",12,39.3,63.9,60,-5,0.2768,0.36639,713,-300,55,1248.00012,15.19559,11,-56.4,-1.55,1.2,37,-1.4,-75.5,-48.5,7.03209,660,230.90587,0,-29.22045,-2.15386,11.23878,8.7,-55.82,-1.2,0.62,37.4,-2.9,-72.6,-29.4,5.7269,522,126.31028,0,-31.93818,5.92814,57.4,20.8,46,0,3,1,1
"AL132001.12","AL132001","011014",18,40.1,64.1,55,-15,0.2768,-1.66324,596,-825,52,1127.5,17.08972,10.1,-56.2,-1.2,0.85,33.5,-0.9,-105.5,-47.5,6.54856,555.5,292.05859,0,-51,2.71388,14.78603,8.4,-55.625,-1.05,0.45,37,-1.5,-75.75,-20.25,5.59103,462.00003,218.62657,0,-36,7.95677,57.75,20.5,47,0,3,1,1
"AL132001.13","AL132001","011015",0,40.9,64.4,50,-10,0.25638,-1.79955,521,-500,32,815.00006,19.36673,5.55,-55.85,-1.05,0.35,35,0,-86,-35,3.66208,277.5,375.07022,0,-50.625,9.39596,18.60092,7.13333,-55.43333,-0.96667,0.23333,37.66667,-0.6,-70.66666,-16.66667,4.83496,356.66669,345.99429,0,-34,11.34617,58.33333,16.3,22,0,3,1,1
"AL132001.14","AL132001","011015",6,42.3,65,45,-10,0.25638,-3.21601,486,-450,71,751.50006,22.48233,6.7,-55.05,-0.9,0.05,40.5,-0.6,-46,7,4.63351,301.5,505.45517,0,-21,13.14966,22.48233,6.7,-55.05,-0.9,0.05,40.5,-0.6,-46,7,4.63351,301.5,505.45517,0,-21,13.14966,61,16.7,60,0,3,1,1
"AL132001.15","AL132001","011015",12,44.2,64.8,40,-10,0.25638,-1.48154,675,-400,59,604,27.06931,10.3,-54.6,-0.8,0,43,0,-40,20,7.18071,412,732.74731,0,-0.75,15.34659,27.06931,10.3,-54.6,-0.8,0,43,0,-40,20,7.18071,412,732.74731,0,-0.75,15.34659,63,15.1,43,0,3,1,1
"AL142001.1","AL142001","011027",12,27.2,34.9,30,0,0.08591,-10.57384,708,0,49,741,71.66959,8.25,-56.85,-3.3,8.6,41,-0.9,-19,-23,3.80076,247.5,5136.52979,0,-2.52145,1.82896,72.24724,13.34,-56.62,-3.08,8.64,40.4,-0.6,-32.6,-30.2,6.15619,400.19998,5219.66357,0,-4.54915,0.22341,50.8,24.7,42,15.6,3,1,1
"AL142001.2","AL142001","011027",18,27.5,36.1,30,0,0.08591,-10.57384,602,0,47,879.00006,71.38362,14,-56.7,-3.05,8.65,40.5,0.4,-32.5,-29.5,6.46438,420,5095.62158,0,-6.00796,0.18227,71.89205,16.28,-56.46,-2.82,8.84,39.6,0.4,-40.8,-31.4,7.51715,488.40002,5168.46729,0,-5.92541,-1.17823,50.6,29.3,41,15.2,3,1,1
"AL142001.3","AL142001","011028",0,27.5,37.4,30,0,0.0773,-10.89293,570,0,46,771,72.35202,17.1,-56.45,-2.9,8.55,40,0.1,-38.5,-36,7.89578,513,5234.81494,0,-6.28313,0.59276,71.50305,15.64,-56.3,-2.64,8.98,39,0.6,-43.6,-36.6,7.2128,469.19998,5112.68652,0,-4.99617,-0.42571,50.8,25.7,42,16.2,3,1,1
"AL142001.4","AL142001","011028",6,27.5,38.7,30,0,0.0773,-12,625,0,38,726,72.98053,17.45,-56.35,-2.9,8.75,40,-0.2,-44,-37,8.05739,523.5,5326.15771,0,-6.19141,-1.94434,71.25276,14.4,-56.06,-2.4,9.14,38.2,0.6,-47,-42.8,6.64603,432,5076.95605,0,-4.30174,-0.90646,50.6,24.2,33,16.2,3,1,1
"AL142001.5","AL142001","011028",12,27.5,39.8,30,0,0.0773,-11,646,0,3,216.00002,71.96248,17.25,-56.35,-2.6,9.15,38.5,0.1,-49.5,-28.5,7.96504,517.5,5178.59814,0,-5.18244,-3.04671,71.06364,12.1,-55.92,-2.22,9.38,36.8,0.5,-53.6,-40.6,5.5907,363,5050.0415,0,-3.17032,-1.85875,50.2,7.2,3,16.4,3,1,1
"AL142001.6","AL142001","011028",18,27.5,41,30,0,0.0773,-10,679,0,0,99,69.80911,14,-56.05,-2.2,9.45,37.5,0.6,-46.5,-39,6.44229,420,4873.31201,0,-3.67207,0.20617,70.95819,10.5,-55.68,-1.96,9.68,35.6,0.1,-56.6,-39.8,4.86418,315,5035.06494,0,-3.6438,-2.24585,50.4,3.3,0,16.4,3,1,1
"AL142001.7","AL142001","011029",0,27.2,41.3,30,0,0.06941,-6.82061,577,0,6,261,69.7854,9.4,-55.7,-2,9.4,37,0.1,-48,-58,4.33266,282,4870.00195,0,-1.9488,0.77056,71.39938,8.34,-55.44,-1.8,9.84,34.4,-0.6,-60.6,-45.4,3.89033,250.19998,5097.87109,0,-5.19687,-2.5506,50.6,8.7,5,15.8,3,1,1
"AL142001.8","AL142001","011029",6,27.7,41.9,30,0,0.06941,-3.88117,637,0,24,660,71.25352,8.25,-55.5,-1.85,9.55,34.5,-0.3,-63.5,-46,3.84053,247.5,5077.06494,0,-1.68544,-2.98986,72.34798,9.08,-55.28,-1.56,9.8,33,-1.3,-70.8,-44,4.31884,272.39999,5234.22949,0,-7.39952,-3.75886,50.4,22,20,14.6,3,1,1
"AL142001.9","AL142001","011029",12,27.8,42.7,30,0,0.06941,-6.29153,613,0,27,705,72.24413,7.65,-55.4,-1.8,10.1,33.5,-0.3,-68,-29.5,3.57999,229.5,5219.21387,0,-4.45493,-5.24642,73.04451,9.22,-55.3,-1.44,9.7,32,-2,-77.6,-30.8,4.47939,276.59998,5335.50049,0,-12.54884,-3.50629,51,23.5,24,12,3,1,1
"AL142001.10","AL142001","011029",18,28,43.7,30,0,0.06941,-7.853,552,0,27,579.00006,72.80179,7.75,-55.15,-1.55,10.3,32.5,-0.1,-67,-40.5,3.66756,232.5,5300.10059,0,-10.34045,-4.68605,73.34078,9.36,-55.36,-1.36,9.36,33.4,-2.4,-76,-12.2,4.66671,280.80002,5378.87012,0,-20.79859,-2.41206,52.8,19.3,18,8.2,3,1,1
"AL142001.11","AL142001","011030",0,28.5,44.6,35,5,0.06218,-8.28451,563,175,34,801.5,68.28353,10.5,-55.05,-1.2,9.75,31,-0.6,-82,-49.5,5.10218,367.5,4662.64062,0,-13.06135,-3.62191,67.54722,10.28,-55.6,-1.44,8.6,35,0.2,-67.2,5.8,5.3553,359.80002,4562.62646,0,-16.95901,-2.57702,55.2,22.9,27,5.2,3,1,1
"AL142001.12","AL142001","011030",6,29.4,45.5,35,5,0.06218,-8.17452,545,175,41,763.00006,68.89822,11.6,-55.35,-1.1,9.05,31,-1,-90.5,-21.5,5.80532,406,4746.96436,0,-20.32872,-1.61866,65.10078,11.9,-56.06,-1.82,7.4,36.4,1.7,-54.8,30.8,6.53716,416.50003,4238.11133,0,-12.32766,-2.90416,57.2,21.8,32,1.8,11,1,1
"AL142001.13","AL142001","011030",12,30.9,45.6,35,0,0.06218,-4.44617,488,0,18,665,68.73557,8.95,-55.7,-1.35,8.45,35.5,-0.7,-76.5,33.5,4.7102,313.25003,4724.57812,0,-35.18314,0.37716,64.21867,11.525,-56.3,-2.025,6.925,37.75,2.7,-45.25,50.25,6.52695,403.37503,4124.03711,0,-12.17313,-2.79457,58.75,19,12,0.25,3,1,1
"AL142001.14","AL142001","011030",18,32.8,46,35,0,0.06218,-2.07167,504,0,33,731.5,66.00091,10.3,-56.15,-1.8,7.35,41,2.5,-42,62,5.76974,360.5,4356.11963,0,-15.48035,-2.97325,62.56913,12.1,-56.53334,-2.3,6.3,40,3.4,-31,65.66666,7.02505,423.49997,3914.896,0,-6.75601,-3.79449,60.66667,20.9,28,0,13,1,1
"AL142001.15","AL142001","011031",0,34.9,44.9,35,0,0.05558,2.78357,637,0,37,763.00006,59.70176,14.1,-56.9,-2.7,5.4,40,0.9,-14,67,8.34369,493.5,3564.30005,0,10.83688,-5.9663,59.70176,14.1,-56.9,-2.7,5.4,40,0.9,-14,67,8.34369,493.5,3564.30005,0,10.83688,-5.9663,62,21.8,32,0,12,1,1
"AL142001.16","AL142001","011031",6,37.4,43.1,35,0,0.05558,11.80385,648,0,67,511,55.7056,15.7,-57.3,-3.3,4.2,38,0,-9,73,9.53566,549.5,3103.11353,0,9.97983,-5.43697,55.7056,15.7,-57.3,-3.3,4.2,38,0,-9,73,9.53566,549.5,3103.11353,0,9.97983,-5.43697,60,14.6,55,0,14,1,1
"AL152001.1","AL152001","011029",18,13.3,83.6,30,0,0.06941,2e-05,510,0,32,495,112.491,12.4,-52.5,0,5.45,80,-0.1,140,97,2.89432,372,12654.22461,0,-71.49181,0.54802,112.17883,13.78,-52.68,0,5.46,81,-0.6,143,97.6,3.19248,413.40002,12584.09082,0,-58.89386,-1.9348,87.6,16.5,27,37.2,26,1,1
"AL152001.2","AL152001","011030",0,13.7,83.6,30,0,0.06218,2e-05,591,0,43,579.00006,110.93445,13.15,-52.55,0,5.35,81.5,0,139,86.5,3.11437,394.5,12306.45215,0,-67.64967,-1.05956,112.91769,13.42,-52.78001,0,5.64,81.8,0,144.60001,101.8,3.12433,402.60001,12750.40527,0,-46.05117,-3.079,88.4,19.3,30,35.8,24,1,1
"AL152001.3","AL152001","011030",6,13.7,84.1,30,0,0.06218,-2.33142,543,0,58,834.00006,112.37199,15.5,-52.85,0,5.3,82,-0.4,143.5,83,3.61323,465,12627.46484,0,-70.03683,-0.30365,113.67226,12.92,-52.9,0,5.9,81.6,0.1,151,110,3.02559,387.60001,12921.38184,0,-38.31145,-3.35667,88.6,27.8,55,35,18,1,1
"AL152001.4","AL152001","011030",12,13.3,83.9,30,0,0.06218,-1.1756,630,0,38,510,112.78345,15.05,-52.9,0,5.55,82,-0.1,145.5,105,3.42905,451.5,12720.10645,0,-40.52794,-4.47963,114.33748,12.36,-52.96,0,6.06,80.8,1.5,158.2,120.6,2.93474,370.79999,13073.05859,0,-27.21728,-3.73198,88,17,31,43,35,1,1
"AL152001.5","AL152001","011030",18,13,83.5,30,0,0.06218,3.21386,660,0,16,324,114.16042,11.9,-52.85,0,6.1,81.5,0.5,151,127,2.74106,357,13032.60059,0,-12.65631,-7.23968,114.01328,11,-52.84,0,6.36,79.4,2.3,161.2,128.39999,2.69085,330,12999.02734,0,-11.9153,-4.44413,86.8,10.8,10,49.2,3,1,1
"AL152001.6","AL152001","011031",0,13.7,83.6,30,0,0.05558,1.17558,513,0,34,681,116.22458,10.3,-53.05,0,6.55,81.5,0.1,160,128,2.48918,309,13508.15234,0,-19.12123,-3.00444,114.24767,11.9,-52.96,0,6.76,78,2.2,164.2,124.6,3.05895,357,13052.5293,0,-11.4373,-3.428,85.4,22.7,28,46.4,26,1,1
"AL152001.7","AL152001","011031",6,14.3,83.4,30,0,0.05558,0.48834,458,0,51,777,114.48389,10.55,-53,0,6.4,79,1,173,133.5,2.65352,316.5,13106.56055,0,-20.5537,-2.68579,112.9252,12.62,-52.98,0,6.72,76.6,2.2,164.39999,116.4,3.36534,378.60004,12752.10156,0,-12.78822,-3.02344,84.4,25.9,47,55.2,20,12,7
"AL152001.8","AL152001","011031",12,14.8,83.2,30,0,0.05558,1.95344,496,0,66,648,113.22452,10.65,-52.7,0,6.45,76.5,0.7,169,129,2.76301,319.5,12819.79102,0,-4.05769,-3.02689,111.13269,12.22,-53.04,0,6.54,74.8,1.2,161.39999,105.8,3.33268,366.59998,12350.47461,5,-4.16601,-3.58118,83.2,21.6,57,65,23,13,8
"AL152001.9","AL152001","011031",18,15.3,83.1,30,0,0.05558,1.37821,514,0,52,756,112.55893,13.85,-52.9,0,7.3,75,0.4,160.5,115,3.72814,415.5,12669.5127,0,-1.55259,-3.67307,109.53198,13.1,-53.02,0,7.08,73.4,-0.1,153.39999,94.6,3.67221,393,11997.25488,15.4,-3.75967,-3.61053,82.2,25.2,44,75.4,17,11,7
"AL152001.10","AL152001","011101",0,15.8,83.1,35,5,0.04957,0.43581,530,175,68,745.50006,106.44025,16,-53.2,0,7,74.5,0.1,159,97,4.4409,560,11329.52637,14.5,-14.83862,-3.7869,102.93074,14.14,-53.18,0,7.46,72.6,0.2,146.60001,86,4.04931,494.90005,10594.7373,24.6,-3.93515,-4.92825,81.6,21.3,58,84.6,19,12,8
"AL152001.11","AL152001","011101",6,16.5,83.4,45,15,0.04957,-1.45149,518,675,84,630,93.43713,11.1,-53.25,0,6,73.5,0,153,81,3.17208,499.50003,8730.49805,31.5,-1.38297,-3.38609,91.37341,12.42,-53.12,0,7.3,72.8,0.8,138.39999,80.2,3.6324,558.90002,8349.10059,30.6,-1.80009,-5.585,82.2,14,80,90.6,38,25,19
"AL152001.12","AL152001","011101",12,16.8,83.6,50,15,0.04957,-2.63018,514,750,93,855,86.00085,11.7,-53.1,0,7.3,71,-0.6,145.5,79,3.4075,585,7396.14697,32,2.41225,-4.10761,85.1109,11.78,-53.06,0,7.36,72.2,1.1,132.2,81.8,3.49876,589.00006,7243.86523,29.8,-0.11556,-6.9627,81.4,17.1,83,89.8,31,20,15
"AL152001.13","AL152001","011101",18,17,83.8,50,5,0.04957,-1.80542,602,250,94,490,85.21964,15.4,-53.05,0,8.75,71,0.7,132,79.5,4.54072,770,7262.38623,31,-3.48054,-6.39832,84.96205,11.3,-52.88,0,8.04,72.2,0.9,126.6,90.4,3.38218,565,7218.55029,28.8,-2.26061,-6.53504,81,9.8,85,88.8,40,29,27
"AL152001.14","AL152001","011102",0,17.3,83.9,55,5,0.04411,-1.49998,564,275,86,709.50006,79.66251,12.2,-53.15,0,7.85,73.5,0.7,123,79,3.64307,671.00006,6346.11475,29,2.95178,-8.5542,80.3956,10.2,-52.86,0,8.26,72.4,1.2,123.6,99.6,3.11044,561,6463.45264,28.2,3.58939,-6.80175,80.8,12.9,75,88.2,37,29,26
"AL152001.15","AL152001","011102",6,17.5,83.9,60,10,0.04411,-0.57241,538,600,100,192,74.39066,10.05,-52.9,0,6.75,73.5,0.3,123,86.5,3.04949,603,5533.96973,27.5,-4.92636,-8.82755,75.35161,9.28,-52.86,0,8.22,72.4,1.7,122.4,112.6,2.88933,556.80005,5677.86475,27.8,-3.36696,-5.1333,80.6,3.2,100,87.8,63,60,58
"AL152001.16","AL152001","011102",12,17.8,84,70,15,0.04411,-0.57241,516,1050,100,385,64.90874,8.25,-52.65,0,7.85,72,-0.8,123.5,106.5,2.53108,577.5,4213.14404,27,-2.53426,-5.71716,65.40372,9.04,-52.86,0,8.32,71,1.8,121.8,125.2,2.85503,632.79999,4277.646,28,-7.74201,-3.9178,80,5.5,100,88,64,62,62
"AL152001.17","AL152001","011102",18,18,84,80,20,0.04411,-0.57241,543,1600,100,520,56.71259,7.8,-52.6,0,9.55,71.5,1,124,123.5,2.45173,624,3216.31738,28,11.34555,-3.75073,56.15492,7.98,-52.82,0,8.78,70.2,2.9,125.8,140.2,2.55886,638.39996,3153.37524,28.4,-15.07674,-1.68032,79.4,6.5,100,88.4,71,65,65
"AL152001.18","AL152001","011103",0,18.5,84,90,20,0.03916,2e-05,490,1800,99,594,37.24198,10.2,-53,0,9.2,71.5,1.2,121.5,135,3.26225,918.00006,1386.96521,4.5,-8.32486,-2.81169,37.74868,10.84,-52.88,0,8.86,68.8,3.3,128,149.39999,3.55438,975.59991,1424.96289,5.6,-26.23871,0.81314,78.2,6.6,99,65.6,59,50,1
"AL152001.19","AL152001","011103",6,18.8,84.3,105,25,0.03916,-1.36805,476,2625,100,462,19.44133,9.35,-53.15,0,8,70,0.4,118.5,143,3.01999,981.75006,377.9653,1.5,-25.04765,-1.33833,23.47464,13.8,-52.92,0,8.54,68.4,3.1,130.8,150.39999,4.62431,1449,551.05872,7.4,-38.03775,3.3598,78,4.4,100,67.4,3,1,1
"AL152001.20","AL152001","011103",12,18.9,84.3,115,25,0.03916,-1.14714,530,2875,100,1242,11.73021,7,-52.8,0,8.15,68,0.3,131.5,155.5,2.28586,805,137.59781,3,-32.48565,-0.37254,15.49597,18.6,-52.78001,0,8.32,68.8,2.3,134,143.39999,6.39684,2139.00024,240.12514,9.2,-39.89265,4.95299,78,10.8,99,69.2,3,1,1
"AL152001.21","AL152001","011103",18,19.3,84.1,110,5,0.03916,1.07512,540,550,100,1001.00006,19.84726,12.7,-52.7,0,9.2,66.5,1.4,139,167,4.26262,1397.00012,393.9137,9,-48.776,6.16007,21.6373,23.66,-52.56001,0,8.34,68.8,1.7,137.39999,144,8.32285,2602.6001,468.1727,11,-43.16989,6.89549,77,9.1,99,71,3,1,1
"AL152001.22","AL152001","011104",0,19.7,83.7,115,0,0.0347,2.8679,494,0,100,747.5,17.29749,22.3,-52.85,0,8.95,67,1,136.5,149,7.5985,2564.50024,299.203,14.5,-45.75711,8.84945,15.67603,31.92,-52.54,0,8.08,68.8,-0.6,139.60001,135,11.51218,3670.80029,245.73778,8,-39.70881,6.2399,77,6.5,100,68,3,1,1
"AL152001.23","AL152001","011104",6,20.1,83.3,120,10,0.0347,3.41,517,1200,100,720,14.1102,29.6,-52.75,0,7.85,71.5,-0.4,136.5,120,10.36905,3552.00024,199.09772,13.5,-42.75958,7.5832,9.15132,38.36,-52.36,0,7.4,69.4,-2,141.2,130,14.25703,4603.20068,83.74668,1.2,-35.14074,3.95098,77.8,6,99,61.2,3,1,1
"AL152001.24","AL152001","011104",12,20.8,82.5,120,5,0.0347,5.75473,538,600,100,540,12.34802,34.05,-52.25,0,7.5,71,-0.3,135,127,12.28262,4086.00049,152.47366,10.5,-38.09086,7.45068,7.33656,43.48,-52.16,0,6.8,69,-0.8,145.8,132.2,16.70027,5217.6001,53.82516,0,-29.94691,3.31807,77.2,4.5,100,51.4,3,1,1
"AL152001.25","AL152001","011104",18,21.5,81.8,120,0,0.0347,7.07109,558,0,100,576,7.18036,40.3,-52.2,0,7.55,68,-0.9,145.5,134.5,15.0742,4836.00049,51.55755,0,-31.81318,2.84474,5.05061,46.78,-52.1,0,6.28,67,1.9,152.39999,145,18.6248,5613.59961,25.5087,0,-22.70636,4.8265,76.2,4.8,100,42.2,3,1,1
"AL152001.26","AL152001","011105",0,22.3,80.9,105,0,0.03067,7.7782,579,0,99,661.5,18.63229,49.45,-52.2,0,6.85,68,-0.4,148.5,132,19.09806,5192.25,347.16208,0,-28.49027,-1.30121,18.74537,50.075,-52.15,0,5.95,66.75,2.8,156.5,144.75,20.20243,5257.87451,351.38885,0,-20.18837,4.25763,76.25,6.3,97,35.25,3,1,1
"AL152001.27","AL152001","011105",6,23.1,79.7,80,0,0.03067,10.10292,596,0,79,1248,43.94882,51.15,-51.9,0,5.75,67.5,0.8,152,142,20.55099,4092,1931.4989,0,-21.35238,1.55075,43.63079,51.06667,-52.03334,0,5.43333,66.33334,3.2,157,152,20.97814,4085.3335,1903.64587,0,-16.63515,6.22262,76,15.6,70,30.33333,3,1,1
"AL152001.28","AL152001","011105",12,24.3,78,80,0,0.03067,13.57683,576,0,26,1144,43.85846,50.7,-52.1,0,5.05,65.5,2.4,164.5,157.5,21.3068,4056,1923.56445,0,-11.88648,9.81647,43.85846,50.7,-52.1,0,5.05,65.5,2.4,164.5,157.5,21.3068,4056,1923.56445,0,-11.88648,9.81647,75,14.3,20,26,3,1,1
"AL152001.29","AL152001","011105",18,25.4,76.4,75,-5,0.03067,15.1741,567,-375,12,930.00006,47.99472,50.9,-52.3,0,4.8,64,0,167,172,21.83246,3817.5,2303.49316,0,-7.20067,15.56636,47.99472,50.9,-52.3,0,4.8,64,0,167,172,21.83246,3817.5,2303.49316,0,-7.20067,15.56636,75,12.4,7,25,3,1,1
"AL162001.1","AL162001","011104",0,33.9,50.4,45,0,0.0347,1e-05,557,0,39,837,40.39243,16.55,-57.45,-5.85,6.15,43.5,-0.8,182,6.5,9.25283,744.75006,1631.5481,0,19.35001,-2.51436,41.57515,15.04,-57.16,-5.88,6.6,47.4,-2.1,153.39999,11.8,8.54629,676.80005,1728.49304,0,33.62801,0.001,69.6,18.6,30,0,10,1,1
"AL162001.2","AL162001","011104",6,34.1,50.4,45,0,0.0347,1e-05,610,0,37,1012.5,41.43658,15.05,-57.3,-6.2,6.95,43.5,-0.5,166,15.5,8.45871,677.25,1716.99048,0,33.96838,-0.4129,41.32463,13.38,-56.72,-5.74,6.52,49.2,-1.3,135,12.4,7.7033,602.09998,1707.7251,0,36.90023,1.11121,70.6,22.5,32,0,10,1,1
"AL162001.3","AL162001","011104",12,34.3,50.4,45,0,0.0347,1e-05,700,0,33,963,42.96852,15.25,-57.3,-6.2,7.1,48,-0.8,142,13.5,8.6956,686.25,1846.29382,0,43.31315,1.39455,41.12537,12.4,-56.3,-5.56,6.2,51.2,-0.8,120.4,9,7.26386,558,1691.29578,0,38.12681,1.53319,71.2,21.4,27,0,10,1,1
"AL162001.4","AL162001","011104",18,35.2,50.3,50,5,0.0347,0.41857,680,250,51,1000,37.14143,13.7,-56.75,-5.6,6.65,53,0,120,14,7.97104,685.00006,1379.48608,0,42.50972,1.70563,34.8913,14.78,-55.88,-4.98,5.7,51.6,-0.1,106.2,3.8,8.94061,739.00006,1217.40259,0,32.34645,-0.53664,71.2,20,42,0,10,1,1
"AL162001.5","AL162001","011105",0,36.1,50.1,55,10,0.03067,1.25261,602,550,60,803,30.31048,10.5,-55.9,-5.2,5.95,53.5,0,111,11,6.24578,577.5,918.7251,0,37.17936,2.70761,28.12673,22.82,-55.46,-4.38,4.92,50.2,-1.8,97.4,0.2,14.27247,1255.1001,791.11304,0,24.96954,-2.56761,70.4,14.6,44,0,3,1,1
"AL162001.6","AL162001","011105",6,37,50.1,60,10,0.03067,0.78445,691,600,63,966,24.26797,10,-55.3,-5.05,5.15,53,0,99.5,-0.5,6.07685,600,588.9342,0,30.94752,1.22052,20.41422,34.38,-55.38,-3.76,3.82,49.6,-2.8,84.6,-0.8,22.06625,2062.7998,416.74048,0,18.347,-5.85697,69.6,16.1,49,0,3,1,1
"AL162001.7","AL162001","011105",12,37.8,50.3,65,10,0.03067,-0.78434,721,650,49,1033.5,17.85324,18.6,-55.2,-4.3,4.9,49.5,-0.1,94,-6,11.58208,1209,318.73822,0,21.87185,-4.57812,14.401,40.65,-55.35,-3.425,3.425,48.75,-2.8,80,-1.75,26.18506,2642.25,207.38882,0,14.87225,-8.07398,69,15.9,37,0,3,1,1
"AL162001.8","AL162001","011105",18,38.8,50.2,65,5,0.03067,-0.47097,771,325,21,832,15.47195,41.25,-55.2,-3.25,3.9,45.5,-1.7,84.5,-8.5,26.18703,2681.25,239.38138,0,10.41998,-8.86186,12.84505,50.63333,-55.43333,-2.9,2.93333,47.33333,-2.7,74.66666,-1,32.72585,3291.1665,164.99542,0,9.94666,-10.57531,68.33334,12.8,15,0,3,1,1
